company,title,totalyearlycompensation,location,yearsofexperience,yearsatcompany,basesalary,bonus,Masters_Degree,Bachelors_Degree,Doctorate_Degree,Highschool,Some_College,Apple
Amazon,Software Engineer,155000,"Seattle, WA",3.0,0.0,130000.0,20000.0,0,0,0,0,0,False
Amazon,Product Manager,310000,"Seattle, WA",12.0,2.0,160000.0,80000.0,0,0,0,0,0,False
Amazon,Software Engineer,217000,"New York, NY",5.0,0.0,175000.0,9000.0,0,0,0,0,0,False
Amazon,Software Engineering Manager,408000,"Seattle, WA",21.0,1.0,160000.0,98000.0,0,0,0,0,0,False
Amazon,Software Engineer,255000,"Seattle, WA",12.0,1.0,155000.0,92000.0,0,0,0,0,0,False
Amazon,Product Manager,215000,"Cupertino, CA",17.0,3.0,160000.0,55000.0,0,0,0,0,0,False
Amazon,Product Manager,215000,"Cupertino, CA",17.0,3.0,160000.0,55000.0,0,0,0,0,0,False
Amazon,Product Manager,355000,"Sunnyvale, CA",12.0,5.0,185000.0,0.0,0,0,0,0,0,False
Amazon,Software Engineer,277000,"New York, NY",14.0,5.0,144000.0,0.0,0,0,0,0,0,False
Amazon,Software Engineer,212000,"Seattle, WA",5.0,3.0,132000.0,0.0,0,0,0,0,0,False
Amazon,Software Engineer,170000,"Washington, DC",5.0,1.0,135000.0,20000.0,0,0,0,0,0,False
Amazon,Software Engineer,43000,"Hyderabad, TS, India",1.0,1.0,0.0,0.0,0,0,0,0,0,False
Amazon,Software Engineer,180000,"Seattle, WA",3.0,3.0,133000.0,0.0,0,0,0,0,0,False
Amazon,Software Engineer,141000,"Seattle, WA",0.0,0.0,108000.0,64000.0,0,0,0,0,0,False
Amazon,Solution Architect,250000,"Seattle, WA",10.0,2.0,150000.0,50000.0,0,0,0,0,0,False
Amazon,Product Manager,200000,"Seattle, WA",6.0,1.0,142000.0,33000.0,0,0,0,0,0,False
Amazon,Software Engineer,143000,"Seattle, WA",0.0,0.0,0.0,0.0,0,0,0,0,0,False
Amazon,Data Scientist,200000,"Boston, MA",5.0,1.0,0.0,0.0,0,0,0,0,0,False
Amazon,Software Engineering Manager,380000,"Seattle, WA",20.0,1.0,160000.0,100000.0,0,0,0,0,0,False
