company,title,totalyearlycompensation,location,yearsofexperience,yearsatcompany,basesalary,bonus,Masters_Degree,Bachelors_Degree,Doctorate_Degree,Highschool,Some_College,Amazon
Apple,Software Engineer,460000,"Cupertino, CA",4.0,4.0,160000.0,50000.0,0,0,0,0,0,False
Apple,Software Engineer,173000,"Cupertino, CA",0.0,0.0,135000.0,13000.0,0,0,0,0,0,False
Apple,Software Engineer,165000,"Cupertino, CA",0.0,0.0,130000.0,10000.0,0,0,0,0,0,False
Apple,Software Engineer,137000,"Cupertino, CA",0.0,1.5,110000.0,15000.0,0,0,0,0,0,False
Apple,Software Engineer,256000,"Cupertino, CA",4.0,1.0,141000.0,10000.0,0,0,0,0,0,False
Apple,Software Engineer,205000,"Cupertino, CA",2.0,2.0,140000.0,15000.0,0,0,0,0,0,False
Apple,Software Engineer,280000,"Sunnyvale, CA",10.0,2.0,161000.0,23000.0,0,0,0,0,0,False
Apple,Software Engineer,192000,"Cupertino, CA",4.0,3.0,125000.0,7000.0,0,0,0,0,0,False
Apple,Software Engineer,259000,"Cupertino, CA",14.0,0.0,190000.0,19000.0,0,0,0,0,0,False
Apple,Software Engineer,300000,"Cupertino, CA",5.0,2.5,150000.0,15000.0,0,0,0,0,0,False
Apple,Software Engineer,425000,"Sunnyvale, CA",16.0,2.0,235000.0,30000.0,0,0,0,0,0,False
Apple,Software Engineer,245000,"Cupertino, CA",2.0,0.0,150000.0,65000.0,0,0,0,0,0,False
Apple,Product Manager,265000,"Cupertino, CA",9.0,4.0,156000.0,19000.0,0,0,0,0,0,False
Apple,Software Engineer,258000,"Cupertino, CA",4.0,2.0,158000.0,8000.0,0,0,0,0,0,False
Apple,Data Scientist,300000,"Cupertino, CA",6.0,2.0,176000.0,20000.0,0,0,0,0,0,False
Apple,Software Engineer,173000,"Cupertino, CA",2.0,0.6,125000.0,25000.0,0,0,0,0,0,False
Apple,Product Designer,328000,"Cupertino, CA",5.0,3.0,178000.0,20000.0,0,0,0,0,0,False
Apple,Software Engineer,205000,"Tel Aviv, TA, Israel",18.0,7.0,0.0,0.0,0,0,0,0,0,False
Apple,Software Engineer,235000,"Sunnyvale, CA",8.0,1.0,175000.0,20000.0,0,0,0,0,0,False
Apple,Software Engineer,250000,"Cupertino, CA",3.0,3.0,0.0,0.0,0,0,0,0,0,False
